a52dec 0.7.4-8
aalib 1.4rc5-11
acl 2.2.52-2
adwaita-icon-theme 3.18.0-1
aircrack-ng 1.2rc3-1
alsa-lib 1.1.0-1
alsa-oss 1.0.28-1
alsa-plugins 1.1.0-1
alsa-utils 1.1.0-1
android-tools 6.0.1_r10-2
apache 2.4.18-1
apr 1.5.2-1
apr-util 1.5.4-1
archlinux-keyring 20151220-1
archlinuxcn-keyring 20151114-1
aria2 1.19.3-1
artwiz-fonts 1.3-8
aspell 0.60.6.1-4
astyle 2.05.1-2
at-spi2-atk 2.18.1-1
at-spi2-core 2.18.3-1
atk 2.18.0-1
atkmm 2.24.2-2
attica-qt4 0.4.2-3
attr 2.4.47-1
audacious 3.7.1-1
audacious-plugins 3.7.1-1
autoconf 2.69-2
automake 1.15-1
avahi 0.6.32rc-3
axel 2.4-4
babl 0.1.14-1
bash 4.3.042-4
bash-completion 2.1-5
bc 1.06.95-1
bind-tools 9.10.3.P2-1
binutils 2.25.1-3
bison 3.0.4-1
blas 3.6.0-2
bluez 5.37-2
boost 1.60.0-1
boost-libs 1.60.0-1
botan-1.10 1.10.10-1
bpython 0.14.2-1
bumblebee 3.2.1-10
bzip2 1.0.6-5
bzrtp 1.0.3-1
c-ares 1.10.0-2
c-client 2007f-5
ca-certificates 20150402-1
ca-certificates-cacert 20140824-2
ca-certificates-mozilla 3.21-1
ca-certificates-utils 20150402-1
cairo 1.14.6-1
cairomm 1.12.0-2
cantarell-fonts 0.0.21-1
cblas 3.6.0-2
ccrtp 2.1.2-1
cdparanoia 10.2-5
celt 0.11.3-2
celt0.5.1 0.5.1.3-3
ceph 0.94.5-3
cfitsio 3.370-3
chemical-mime-data 0.1.94-7
chmlib 0.40-4
chromaprint 1.2-2
cifs-utils 6.4-1
clisp 2.49-5
cln 1.3.4-2
cloog 0.18.4-1
clucene 2.3.3.4-9
clutter 1.24.2-1
clutter-gst 3.0.14-1
clutter-gst2 2.0.16-1
clutter-gtk 1.6.6-1
cmake 3.4.1-3
cmatrix 1.2a-11
codeblocks 13.12-5
cogl 1.22.0-1
colord 1.2.12-1
colord-gtk 0.1.26-2
compface 1.5.2-6
compositeproto 0.4.2-3
confuse 2.7-3
convertlit 1.8-7
coreutils 8.24-1
cracklib 2.9.4-1
create_ap r189.000f6a2-1
crypto++ 5.6.2-4
cryptsetup 1.7.0-1
ctags 5.8-5
ctpl 0.3.4-1
cups 2.1.2-3
cups-filters 1.6.0-1
cups-pk-helper 0.2.5-1
curl 7.46.0-1
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.6-1
dbus-glib 0.104-1
dcadec 0.2.0-1
dconf 0.24.0-1
deadbeef 0.6.2-5
dee 1.2.7-5
desktop-file-utils 0.22-1
device-mapper 2.02.138-1
dhclient 4.3.3-2
dhcpcd 6.10.0-1
dialog 1:1.2_20150920-1
diffutils 3.3-2
dislocker 0.5.1-1
djvulibre 3.5.27-2
dkms 2.2.0.3+git151023-1
dmxproto 2.3.1-3
dnsmasq 2.75-1
dnssec-anchors 20150403-1
docbook-xml 4.5-6
docbook-xsl 1.79.1-1
dosfstools 3.0.28-1
dotconf 1.3-4
